Total count, 9000000
;angle degrees, plus counts, neg counts, neither, total
345, 0.0, 0.0, 0.0, 0.0
346, 0.0, 0.0, 0.0, 0.0
347, 0.0, 0.0, 0.0, 0.0
348, 0.0, 0.0, 0.0, 0.0
349, 0.0, 0.0, 0.0, 0.0
350, 0.0, 0.0, 0.0, 0.0
351, 0.0, 0.0, 0.0, 0.0
352, 0.0, 0.0, 0.0, 0.0
353, 0.0, 0.0, 0.0, 0.0
354, 0.0, 0.0, 0.0, 0.0
355, 0.0, 0.0, 0.0, 0.0
356, 0.0, 0.0, 0.0, 0.0
357, 0.0, 0.0, 0.0, 0.0
358, 0.0, 0.0, 0.0, 0.0
359, 0.0, 0.0, 0.0, 0.0
